term,definition
Alcohol Involvement,NHTSA Defines A Fatal Crash As Alcohol-related Or Alcohol-involved If Either A Driver Or A Nonmotorist (usually A Pedestrian) Had A Measurable Or Estimated Blood Alcohol Concentration (BAC) Of 0.01 Grams Per Deciliter (g/dl) Or Above. NHTSA Defines A Nonfatal Crash As Alcohol-related Or Alcohol-involved If Police Indicate On The Police Accident Report That There Is Evidence Of Alcohol Present. The Code Does Not Necessarily Mean That A Driver Or Nonoccupant Was Tested For Alcohol.
Alcohol-Impaired Driving Crashes,"Crashes That Involve At Least One Driver Or Motorcycle Rider (operator) With A Blood Alcohol Concentration (BAC) Of .08 Grams Per Deciliter (g/dL) Or Higher. Thus, Any Fatality Occurring In A Crash Involving A Driver Or Motorcycle Rider With A BAC Of .08 Or Higher Is Considered To Be An Alcohol-impaired-driving Fatality."
Alcohol-Impaired Driving Fatalities,All Fatalities In Crashes Involving A Driver Or Motorcycle Rider (operator) With A Blood Alcohol Concentration (BAC) Of .08 Grams Per Deciliter (g/dL) Or Higher.
Angled Collision,"Collisions Which Are Not Head-on, Rear-end, Rear-to-rear, Or Sideswipe."
Blood Alcohol Concentration,The BAC Is Measured As A Percentage By Weight Of Alcohol In The Blood (grams/deciliter). A Positive BAC Level (0.01 G/dl And Higher) Indicates That Alcohol Was Consumed By The Person Tested. A BAC Level Of 0.10 G/dl Or More Indicates That The Person Was Intoxicated.
Body Type,Detailed Type Of Motor Vehicle Within A Vehicle Type.
Bus,"Large Motor Vehicles Used To Carry More Than Ten Passengers, Including School Buses, Inter-city Buses, And Transit Buses."
Collectors,"In Rural Areas, Routes Serving Intra-county, Rather Than Statewide Travel. In Urban Areas, Streets Providing Direct Access To Neighborhoods As Well As Direct Access To Arterials."
Combination Truck,A Truck Tractor Not Pulling A Trailer; A Tractor Pulling At Least One Full Or Semi-trailer; Or A Single-unit Truck Pulling At Least One Trailer.
Construction/Maintenance Zone,"An Area, Usually Marked By Signs, Barricades, Or Other Devices Indicating That Highway Construction Or Highway Maintenance Activities Are Ongoing."
Crash,"An Event That Produces Injury And/or Property Damage, Involves A Motor Vehicle In Transport, And Occurs On A Trafficway Or While The Vehicle Is Still In Motion After Running Off The Trafficway."
Crash Type,Single-vehicle Or Multiple-vehicle Crash.
Day,From 6 A.M. To 5:59 P.M.
Driver,"An Occupant Of A Vehicle Who Is In Physical Control Of A Motor Vehicle In Transport, Or For An Out-of-control Vehicle, An Occupant Who Was In Control Until Control Was Lost."
Ejection,Refers To Occupants Being Totally Or Partially Thrown From The Vehicle As A Result Of An Impact Or Rollover.
Fatal Crash,A Police-reported Crash Involving A Motor Vehicle In Transport On A Trafficway In Which At Least One Person Dies Within 30 Days Of The Crash.
First Harmful Event,The First Event During A Crash That Caused Injury Or Property Damage.
Fixed Object,Stationary Structures Or Substantial Vegetation Attached To The Terrain.
Gross Vehicle Weight Rating (GVWR),"The Maximum Rated Capacity Of A Vehicle, Including The Weight Of The Base Vehicle, All Added Equipment, Driver And Passengers, And All Cargo Loaded Into Or On The Vehicle. Actual Weight May Be Less Than Or Greater Than GVWR."
Head-on Collision,Refers To A Collision Where The Front End Of One Vehicle Collides With The Front End Of Another Vehicle While The Two Vehicles Are Traveling In Opposite Directions.
Initial Impact Point,"The First Impact Point That Produced Personal Injury Or Property Damage, Regardless Of First Or Most Harmful Event."
Injury Crash,"A Police-reported Crash That Involves A Motor Vehicle In Transport On A Trafficway In Which No One Died But At Least One Person Was Reported To Have: (1) An Incapacitating Injury; (2) A Visible But Not Incapacitating Injury; (3) A Possible, Not Visible Injury; Or (4) An Injury Of Unknown Severity."
Injury Severity,"The Police-reported Injury Severity Of The Person (i.e., Occupant, Pedestrian, Or Pedalcyclist)."
Interstates,Limited Access Divided Facilities Of At Least Four Lanes Designated By The Federal Highway Administration As Part Of The Interstate System.
Jackknife,"Jackknife Can Occur At Any Time During The Crash Sequence. In This Report, Jackknifing Is Restricted To Truck Tractors Pulling A Trailing Unit In Which The Trailing Unit And The Pulling Vehicle Rotate With Respect To Each Other."
Junction,"Area Formed By The Connection Of Two Roadways, Including Intersections, Interchange Areas, And Entrance/exit Ramps."
Land Use,The Crash Location (urban Or Rural).
Large Trucks,"Trucks Over 10,000 Pounds Gross Vehicle Weight Rating, Including Single Unit Trucks And Truck Tractors."
Light Trucks,"Trucks Of 10,000 Pounds Gross Vehicle Weight Rating Or Less, Including Pickups, Vans, Truck-based Station Wagons, And Utility Vehicles."
