code,name,type,definition,restriction_id,restriction
Alcohol Test Category Code,AlcoholTestCategoryCodeSimpleType,simple,A data type for the kind of Alcohol Test Given.,1,Blood
Alcohol Test Category Code,AlcoholTestCategoryCodeSimpleType,simple,A data type for the kind of Alcohol Test Given.,2,Breath
Alcohol Test Category Code,AlcoholTestCategoryCodeSimpleType,simple,A data type for the kind of Alcohol Test Given.,3,Urine
Alcohol Test Category Code,AlcoholTestCategoryCodeSimpleType,simple,A data type for the kind of Alcohol Test Given.,4,Other Test Type
Alcohol Test Result Code,AlcoholTestResultCodeSimpleType,simple,A data type for a status of BAC Test results.,5,Pending
Alcohol Test Result Code,AlcoholTestResultCodeSimpleType,simple,A data type for a status of BAC Test results.,6,Unknown
Alcohol Test Status Code,AlcoholTestStatusCodeSimpleType,simple,A data type for an indication of the presence of alcohol by test.,7,Test Not Given
Alcohol Test Status Code,AlcoholTestStatusCodeSimpleType,simple,A data type for an indication of the presence of alcohol by test.,8,Test Refused
Alcohol Test Status Code,AlcoholTestStatusCodeSimpleType,simple,A data type for an indication of the presence of alcohol by test.,9,Test Given
Alcohol Test Status Code,AlcoholTestStatusCodeSimpleType,simple,A data type for an indication of the presence of alcohol by test.,10,Not Reported
Alcohol Test Status Code,AlcoholTestStatusCodeSimpleType,simple,A data type for an indication of the presence of alcohol by test.,11,Unknown if Tested
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,12,No Additional Atmospheric Conditions
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,13,Clear
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,14,Cloudy
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,15,Blowing Snow
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,16,Freezing Rain or Drizzle
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,17,Rain
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,18,Sleet or Hail
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,19,Snow
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,20,"Fog, Smog, Smoke"
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,21,Severe Crosswinds
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,22,"Blowing Sand, Soil, Dirt"
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,23,Other
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,24,Not Reported
Atmospheric Condition Code,AtmosphericConditionCodeSimpleType,simple,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,25,Unknown
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,26,Non-Collision
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,27,1 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,28,10 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,29,11 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,30,12 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,31,2 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,32,3 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,33,4 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,34,5 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,35,6 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,36,7 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,37,8 Clock Point
Clock Diagram12 Points Code,ClockDiagram12PointsCodeSimpleType,simple,A data type for 12 points clock diagram,38,9 Clock Point
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,39,Not Applicable
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,40,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)"
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,41,"Vehicle 10,000 pounds or less placarded for hazardous materials"
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,42,"Truck More Than 10,000 lbs, Cannot Classify"
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,43,Single-Unit Truck (3 or more axles)
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,44,"Bus/Large Van (seats for 9-15 occupants, including driver)"
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,45,"Bus (seats for more than 15 occupants, including driver)"
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,46,Truck Pulling Trailer(s)
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,47,Truck Tractor (Bobtail)
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,48,Truck Tractor/Semi-Trailer
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,49,Truck Tractor/Double
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,50,Truck Tractor/Triple
Commercial Vehicle Configuration Code,CommercialVehicleConfigurationCodeSimpleType,simple,A data type for a general configuration of a motor vehicle.,51,Unknown
Crash Classification Characteristic Code,CrashClassificationCharacteristicCodeSimpleType,simple,A data type to identify the characteristics of the crash with respect to its location on or off a trafficway.,52,Non-trafficway
Crash Classification Characteristic Code,CrashClassificationCharacteristicCodeSimpleType,simple,A data type to identify the characteristics of the crash with respect to its location on or off a trafficway.,53,"Trafficway, Not on Road"
Crash Classification Characteristic Code,CrashClassificationCharacteristicCodeSimpleType,simple,A data type to identify the characteristics of the crash with respect to its location on or off a trafficway.,54,"Trafficway, On Road"
Crash Classification Land Ownership Code,CrashClassificationLandOwnershipCodeSimpleType,simple,A data type for the ownership of the land where the crash occurred.,55,Private Property
Crash Classification Land Ownership Code,CrashClassificationLandOwnershipCodeSimpleType,simple,A data type for the ownership of the land where the crash occurred.,56,Public Property
Crash Environment Contributing Circumstances Code,CrashEnvironmentContributingCircumstancesCodeSimpleType,simple,A data type for apparent environmental conditions which may have contributed to the crash.,57,None
Crash Environment Contributing Circumstances Code,CrashEnvironmentContributingCircumstancesCodeSimpleType,simple,A data type for apparent environmental conditions which may have contributed to the crash.,58,Weather Conditions
